연도,학교종류,시도,행정구,학교명,학교명(영문),본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2020,전문대학(3년제),경기,경기 양주시,서정대학교,Seojeong College,본교,기존,사립,11429,"경기도 양주시 은현면 화합로 1049-56 (용암리, 서정대학)",031-859-6900,031-859-6904,www.seojeong.ac.kr
2020,전문대학(3년제),경기,경기 화성시,수원과학대학교,SUWON SCIENCE COLLEGE,본교,기존,사립,18516,"경기도 화성시 정남면 세자로 288 (보통리, 수원과학대학)",031-350-2114,031-354-8988,www.ssc.ac.kr
2020,전문대학(3년제),경기,경기 성남시,신구대학교,SHINGU COLLEGE,본교,기존,사립,13174,"경기도 성남시 중원구 광명로 377 (금광동, 신구대학)",031-740-1114        ,031-734-0905        ,www.shingu.ac.kr
2020,전문대학(3년제),경기,경기 안산시,안산대학교,Ansan University,본교,기존,사립,15328,"경기도 안산시 상록구 안산대학로 155 (일동, 안산대학교)",031-400-6900,031-419-8390,www.ansan.ac.kr
2020,전문대학(3년제),경기,경기 안양시,연성대학교,YEONSUNG UNIVERSITY,본교,기존,사립,14011,"경기도 안양시 만안구 양화로37번길 34 (안양동, 연성대학교)",031-441-1100        ,031-442-4400        ,www.yeonsung.ac.kr
2020,전문대학(3년제),경기,경기 오산시,오산대학교,OSAN UNIVERSITY,본교,기존,사립,18119,"경기도 오산시 청학로 45 (청학동, 오산대학)",031-370-2500        ,031-373-7388    ,www.osan.ac.kr
2020,전문대학(3년제),경기,경기 용인시,용인송담대학교,YONG-IN SONGDAM COLLEGE,본교,기존,사립,17145,"경기도 용인시 처인구 동부로 61 (마평동, 용인송담대학)",031-330-9000,031-336-9535,https://www.ysc.ac.kr/kor/Main.do
2020,전문대학(3년제),경기,경기 파주시,웅지세무대학교,Woongji Accounting & Tax College,본교,기존,사립,10846,"경기도 파주시 탄현면 웅지로144번길 73 (금승리, 웅지세무대학)",031-940-3114        ,031-940-3119        ,www.wat.ac.kr
2020,전문대학(3년제),경기,경기 이천시,청강문화산업대학교,ChungKang College of Cultural Industries,본교,기존,사립,17390,"경기도 이천시 마장면 청강가창로 389-94 (해월리, 청강문화산업대학)",031-637-1114,031-637-9696,www.ck.ac.kr
2020,전문대학(3년제),경기,경기 평택시,한국복지대학교,Korea National University of Welfare,본교,기존,국립,17738,"경기도 평택시 삼남로 283 (장안동, 국립한국재활복지대학)",031-610-4600        ,031-610-4608,http://www.knuw.ac.kr
2020,전문대학(3년제),강원,강원 강릉시,강릉영동대학교,GANGNEUNG YEONGDONG UNIVERSITY,본교,기존,사립,25521,"강원도 강릉시 공제로 357 (홍제동, 강릉영동대학)",033-610-0114        ,033-644-8809        ,www.gyc.ac.kr
2020,전문대학(3년제),강원,강원 횡성군,한국골프대학교,KOREA GOLF UNIVERSITY,본교,기존,사립,25247,"강원도 횡성군 우천면 하대5길 109 (하대리, 한국골프대학교)",033-810-1000,033-810-1001,http://www.kg.ac.kr/
2020,전문대학(3년제),강원,강원 춘천시,한림성심대학교,HALLYM POLYTECHNIC UNIVERSITY,본교,기존,사립,24210,"강원도 춘천시 동면 장학길 48 (장학리, 한림성심대학교)",033-240-9000        ,033-252-9462        ,http://www.hsc.ac.kr/
2020,전문대학(3년제),충남,충남 당진시,신성대학교,SHINSUNG UNIVERSITY,본교,기존,사립,31801,"충청남도 당진시 정미면 대학로 1 (덕마리, 신성대학교)",041-350-1114        ,041-350-1075        ,www.shinsung.ac.kr
2020,전문대학(3년제),충남,충남 청양군,충남도립대학교,Chungnam State University,본교,기존,공립,33303,"충청남도 청양군 청양읍 학사길 55 (벽천리, 충남도립대학교)",041-635-6600        ,041-635-7950,www.cnsu.ac.kr
2020,전문대학(3년제),충남,충남 홍성군,혜전대학교,HYEJEON COLLEGE,본교,기존,사립,32244,충청남도 홍성군 홍성읍 대학1길 19 (남장리),041-630-5114        ,041-634-5154,www.hj.ac.kr
2020,전문대학(3년제),전북,전북 군산시,군장대학교,KUNJANG UNIVERSITY COLLEGE,본교,기존,사립,54045,"전라북도 군산시 성산면 군장대길 13 (도암리, 군장대학)",063-450-8114,063-450-8111,www.kunjang.ac.kr
2020,전문대학(3년제),전북,전북 군산시,서해대학,SOHAE COLLEGE,본교,기존,사립,54116,"전라북도 군산시 서해대길 6 (오룡동, 서해대학)",063-460-9114,063-460-9191,www.sohae.ac.kr
2020,전문대학(3년제),전북,전북 익산시,원광보건대학교,Wonkwang Health Science University,본교,기존,사립,54538,"전라북도 익산시 익산대로 514 (신용동, 원광보건대학)",063-840-1114,063-840-1566,www.wu.ac.kr
2020,전문대학(3년제),전북,전북 전주시,전주기전대학,Jeonju Kijeon College,본교,기존,사립,54989,"전라북도 전주시 완산구 전주천서로 267 (중화산동1가, 전주기전대학)",063-280-5208,063-231-6415,www.kijeon.ac.kr
2020,전문대학(3년제),전북,전북 전주시,한국농수산대학,Korea National College of Agriculture and Fisheries ,본교,기존,특별법국립,54874,"전라북도 전주시 덕진구 콩쥐팥쥐로 1515 (중동, 한국농수산대학)",063-238-9114,063-238-9719,www.af.ac.kr
2020,전문대학(3년제),전남,전남 나주시,고구려대학교,KOGURYEO COLLEGE,본교,기존,사립,58280,"전라남도 나주시 다시면 백호로 125 (복암리, 고구려대학)",061-330-7400,061-330-7322,www.kgrc.ac.kr
2020,전문대학(3년제),전남,전남 광양시,광양보건대학교,Gwang Yang Health Sciences University,본교,기존,사립,57764,"전라남도 광양시 광양읍 대학로 85 (덕례리, 광양보건대학)",061-760-1411,061-763-9009,www.gy.ac.kr
2020,전문대학(3년제),전남,전남 영암군,동아보건대학교,DONGA UNIVERSITY OF HEALTH,본교,기존,사립,58439,"전라남도 영암군 학산면 영산로 76-57 (독천리, 동아보건대학교)",061-470-1700     ,061-472-8770        ,www.duh.ac.kr
2020,전문대학(3년제),전남,전남 목포시,목포과학대학교,MOKPO SCIENCE UNIVERSITY,본교,기존,사립,58644,"전라남도 목포시 영산로 413-1 (상동, 목포과학대학)",061-278-8651        ,061-279-8838        ,http://www.mokpo-c.ac.kr
2020,전문대학(3년제),전남,전남 순천시,청암대학교,CHEONGAM COLLEGE,본교,기존,사립,57997,"전라남도 순천시 녹색로 1641 (덕월동, 순천청암대학)",061-740-7100        ,061-743-6414        ,ca.ac.kr
2020,전문대학(3년제),경북,경북 안동시,가톨릭상지대학교,CATHOLIC SANGJI COLLEGE,본교,기존,사립,36686,"경상북도 안동시 상지길 45 (율세동, 가톨릭상지대학교)",054-851-3000       ,054-857-9590        ,www.csj.ac.kr
2020,전문대학(3년제),경북,경북 영주시,경북전문대학교,Kyungbuk College,본교,기존,사립,36133,"경상북도 영주시 대학로 77 (휴천동, 경북전문대학교)",054-630-5114        ,054-632-0754        ,www.kbc.ac.kr
2020,전문대학(3년제),경북,경북 포항시,선린대학교,SUNLIN UNIVERSITY,본교,기존,사립,37560,"경상북도 포항시 북구 흥해읍 초곡길36번길 30 (초곡리, 선린대학)",054-260-5000        ,054-261-9455        ,www.sunlin.ac.kr
2020,전문대학(3년제),경북,경북 영천시,성운대학교,SUNGWOON C.UNIVERSITY,본교,기존,사립,38801,"경상북도 영천시 신녕면 대학길 105 (화남리, 성덕대학교)",054-330-8800     ,054-330-8810,www.sdc.ac.kr
2020,전문대학(3년제),경북,경북 안동시,안동과학대학교,AndongScienceCollege,본교,기존,사립,36616,"경상북도 안동시 서후면 서선길 189 (교리, 안동과학대학교)",054-851-3500,054-852-9907,www.asc.ac.kr
2020,전문대학(3년제),경북,경북 포항시,포항대학교,POHANG UNIVERSITY,본교,기존,사립,37555,"경상북도 포항시 북구 흥해읍 신덕로 60 (죽천리, 포항대학교)",054-251-8000        ,,www.pohang.ac.kr
2020,전문대학(3년제),경남,경남 거제시,거제대학교,KOJE UNIVERSITY,본교,기존,사립,53325,"경상남도 거제시 마전1길 91 (장승포동, 거제대학)",055-680-1504        ,055-681-3993        ,www.koje.ac.kr
2020,전문대학(3년제),경남,경남 김해시,김해대학교,GIMHAE COLLEGE,본교,기존,사립,50811,"경상남도 김해시 삼안로112번길 198 (삼방동, 김해대학교)",055-320-1600,055-336-6222,www.gimhae.ac.kr
2020,전문대학(3년제),경남,경남 창원시,마산대학교,MASAN UNIVERSITY,본교,기존,사립,51217,"경상남도 창원시 마산회원구 내서읍 함마대로 2640 (용담리, 마산대학)",055-230-1212,055-231-1177,www.masan.ac.kr
2020,전문대학(3년제),경남,경남 진주시,연암공과대학교,YONAM INSTITUTE OF TECHNOLOGY,본교,기존,사립,52821,"경상남도 진주시 진주대로629번길 35 (가좌동, 연암공업대학)",055-751-2000        ,055-751-2004        ,www.yc.ac.kr
2020,전문대학(3년제),경남,경남 진주시,진주보건대학교,JINJU HEALTH COLLEGE,본교,기존,사립,52655,"경상남도 진주시 의병로 51 (상봉동, 진주보건대학)",055-740-1800        ,055-743-3010        ,www.jhc.ac.kr
2020,전문대학(3년제),경남,경남 창원시,창원문성대학교,Changwon Moonsung University,본교,기존,사립,51410,"경상남도 창원시 의창구 충혼로 91 (두대동, 창원문성대학)",055-279-5114        ,055-273-7386        ,http://www.cmu.ac.kr
2020,전문대학(3년제),제주,제주 제주시,제주한라대학교,CHEJU HALLA UNIVERSITY,본교,기존,사립,63092,"제주특별자치도 제주시 한라대학로 38 (노형동, 제주한라대학)",064-741-7575,064-747-3989,www.chu.ac.kr
2020,전문대학(2년제),서울,서울 중랑구,서일대학교,SEOIL UNIVERSITY,본교,기존,사립,02192,"서울특별시 중랑구 용마산로90길 28 (면목동, 서일대학)",02-490-7300         ,02-490-7348      ,www.seoil.ac.kr
2020,전문대학(2년제),서울,서울 중구,숭의여자대학교,Soongeui Women's College,본교,기존,사립,04628,"서울특별시 중구 소파로2길 10 (예장동, 숭의여자대학)",02-3708-9000        ,02-773-2625         ,www.sewc.ac.kr
2020,전문대학(2년제),서울,서울 노원구,인덕대학교,Induk University,본교,기존,사립,01878,"서울특별시 노원구 초안산로 12 (월계동, 인덕대학)",02-950-7000         ,02-906-5340         ,www.induk.ac.kr
2020,전문대학(2년제),서울,서울 성동구,한양여자대학교,Hanyang Women's University,본교,기존,사립,04763,"서울특별시 성동구 살곶이길 200 (사근동, 한양여자대학)",02-2290-2114        ,02-2291-6111        ,www.hywoman.ac.kr
2020,전문대학(2년제),부산,부산 금정구,대동대학교,DAEDONG COLLEGE,본교,기존,사립,46270,"부산광역시 금정구 동부곡로27번길 88 (부곡동, 대동대학교)",0515185444,0515145847,www.daedong.ac.kr
2020,전문대학(2년제),부산,부산 부산진구,동의과학대학교,DONGEUI INSTITUTE OF TECHNOLOGY,본교,기존,사립,47230,"부산광역시 부산진구 양지로 54 (양정동, 동의과학대학)",051-852-0011,051-860-3270,www.dit.ac.kr
2020,전문대학(2년제),부산,부산 연제구,부산경상대학교,Busan Kyungsang College,본교,기존,사립,47583,"부산광역시 연제구 고분로 170 (연산동, 부산경상대학)",051-850-1000        ,051-850-1133        ,www.bsks.ac.kr
2020,전문대학(2년제),부산,부산 북구,부산과학기술대학교,BUSAN INSTITUTE OF SCIENCE AND TECHNOLOGY,본교,기존,사립,46639,"부산광역시 북구 시랑로132번길 88 (구포동, 부산과학기술대학교)",051-334-6666        ,051-334-7780        ,bist.ac.kr
2020,전문대학(2년제),부산,부산 부산진구,부산여자대학교,BusanWomensCollege,본교,기존,사립,47228,"부산광역시 부산진구 진남로 506 (양정동, 부산여자대학)",051-852-0081        ,051-867-4705        ,www.bwc.ac.kr
2020,전문대학(2년제),부산,부산 남구,부산예술대학교,Busan Arts College,본교,기존,사립,48429,"부산광역시 남구 못골번영로71번길 74 (대연동, 부산예술대학)",051-628-3990,051-628-2719,www.busanarts.ac.kr
2020,전문대학(2년제),부산,부산 해운대구,성심외국어대학,SungSim College of Foreign Languages,본교,폐교,사립,48015,"부산광역시 해운대구 반송순환로 142 (반송동, 영산대학교부산캠퍼스)",051-543-7000        ,051-543-9347        ,www.sungsim.ac.kr
2020,전문대학(2년제),대구,대구 달서구,계명문화대학교,KEIMYUNG COLLEGE UNIVERSITY,본교,기존,사립,42601,"대구광역시 달서구 달서대로 675 (신당동, 계명문화대학교)",053-589-7744        ,053-589-7575        ,www.kmcu.ac.kr
2020,전문대학(2년제),대구,대구 달서구,대구공업대학교,DaeguTechnical University,본교,기존,사립,42734,"대구광역시 달서구 송현로 205 (본동, 대구공업대학)",053-527-0501        ,053-527-0506        ,www.ttc.ac.kr
2020,전문대학(2년제),대구,대구 북구,대구과학대학교,Taegu Science University,본교,기존,사립,41453,"대구광역시 북구 영송로 47 (태전동, 대구과학대학)",053-320-1114      ,053-320-1045        ,www.tsu.ac.kr
2020,전문대학(2년제),대구,대구 남구,영남이공대학교,Yeungnam University College,본교,기존,사립,42415,"대구광역시 남구 현충로 170 (대명동, 영남이공대학)",053-650-9114        ,053-627-8491,www.ync.ac.kr
2020,전문대학(2년제),대구,대구 북구,영진전문대학교,Yeungjin University,본교,기존,사립,41527,"대구광역시 북구 복현로 35 (복현동, 영진전문대학)",053-940-5108      ,053-943-1906   ,www.yju.ac.kr
2020,전문대학(2년제),인천,인천 동구,인천재능대학교,INCHEON JAENEUNG UNIVERSITY,본교,기존,사립,22573,"인천광역시 동구 재능로 178 (송림동, 재능대학)",032-890-7000        ,032-890-7080,www.jeiu.ac.kr
2020,전문대학(2년제),광주,광주 동구,조선이공대학교,CHOSUN COLLEGE OF SCIENCE & TECHNOLOY,본교,기존,사립,61453,"광주광역시 동구 필문대로 309-1 (서석동, 조선이공대학)",062-230-8114        ,062-232-4277        ,www.cst.ac.kr
2020,전문대학(2년제),대전,대전 유성구,대덕대학교,DAEDUK UNIVERSITY,본교,기존,사립,34111,"대전광역시 유성구 가정북로 68 (장동, 대덕대학교)",042-866-0200,042-861-5110,ddu.ac.kr
2020,전문대학(2년제),대전,대전 동구,대전보건대학교,Daejeon Health Institute of Technology,본교,기존,사립,34504,"대전광역시 동구 충정로 21 (가양동, 대전보건대학)",042-670-9011        ,042-670-9049       ,www.hit.ac.kr
2020,전문대학(2년제),경기,경기 시흥시,경기과학기술대학교,Gyeonggi University of Science and Technology,본교,기존,사립,15073,"경기도 시흥시 경기과기대로 269 (정왕동, 경기과학기술대학교)",031-496-4555        ,031-319-9666        ,www.gtec.ac.kr
2020,전문대학(2년제),경기,경기 의왕시,계원예술대학교,KAYWON UNIVERSITY OF ART AND DESIGN,본교,기존,사립,16038,"경기도 의왕시 계원대학로 66 (내손동, 계원예술대학교)",031-420-1700        ,031-420-1709       ,www.kaywon.ac.kr
2020,전문대학(2년제),경기,경기 평택시,국제대학교,KOOKJE UNIVERSITY,본교,기존,사립,17731,"경기도 평택시 장안웃길 56 (장안동, 국제대학교)",031-610-8000        ,031-668-4900        ,www.kookje.ac.kr
2020,전문대학(2년제),경기,경기 성남시,동서울대학교,DONG SEOUL UNIVERSITY,본교,기존,사립,13117,"경기도 성남시 수정구 복정로 76 (복정동, 동서울대학)",0317202114,0317511094,www.du.ac.kr
2020,전문대학(2년제),경기,경기 안성시,두원공과대학교,DOOWON TECHNICAL UNIVERSITY,본교,기존,사립,17520,"경기도 안성시 죽산면 관음당길 51 (장원리, 두원공과대학교)",031-8056-7000       ,031-8056-7100       ,doowon.ac.kr
2020,전문대학(2년제),경기,경기 부천시,부천대학교,BUCHEON UNIVERSITY,본교,기존,사립,14632,"경기도 부천시 원미구 신흥로56번길 25 (심곡동, 부천대학)",032-610-0114,032-663-0114,www.bc.ac.kr
2020,전문대학(2년제),경기,경기 수원시,수원여자대학교,SUWON WOMEN'S UNIVERSITY,본교,기존,사립,16632,"경기도 수원시 권선구 온정로 72 (오목천동, 수원여자대학)",031-290-8000,031-292-6250,https://www.swwu.ac.kr/swwu.do
2020,전문대학(2년제),경기,경기 안산시,신안산대학교,Shin Ansan University,본교,기존,사립,15435,"경기도 안산시 단원구 신안산대학로 135 (초지동, 안산공과대학)",031-490-6000        ,031-495-7828        ,www.sau.ac.kr
2020,전문대학(2년제),경기,경기 의정부시,신흥대학교,SHINHEUNGCOLLEGE,본교,폐교,사립,11644,"경기도 의정부시 호암로 95 (호원동, 신한대학교)",031-870-3114    ,031-870-3319       ,http://www.shinhan.ac.kr
2020,전문대학(2년제),경기,경기 여주시,여주대학교,YEOJU INSTITUTE OF TECHNOLOGY,본교,기존,사립,12652,"경기도 여주시 세종로 338 (교동, 여주대학)",031-880-5000        ,031-883-5113        ,www.yit.ac.kr
2020,전문대학(2년제),경기,경기 부천시,유한대학교,YUHAN UNIVERSITY,본교,기존,사립,14780,"경기도 부천시 소사구 경인로 590 (괴안동, 유한대학)",02-2610-0600        ,02-2614-6398        ,www.yuhan.ac.kr
2020,전문대학(2년제),경기,경기 화성시,장안대학교,JANGAN UNIVERSITY,본교,기존,사립,18331,"경기도 화성시 봉담읍 삼천병마로 1182 (상리, 장안대학)",031-299-3000   ,031-227-8276        ,www.jangan.ac.kr
2020,전문대학(2년제),경기,경기 이천시,한국관광대학교,Korea Tourism College,본교,기존,사립,17306,"경기도 이천시 신둔면 이장로311번길 197-73 (고척리, 한국관광대학)",031-644-1000        ,031-644-1122        ,www.ktc.ac.kr
2020,전문대학(2년제),강원,강원 태백시,강원관광대학교,KangwonTourismCollege,본교,기존,사립,26034,"강원도 태백시 대학길 97 (황지동, 강원관광대학)",033-550-6114,033-553-7322,www.kt.ac.kr
2020,전문대학(2년제),강원,강원 강릉시,강원도립대학교,Gangwon State University ,본교,기존,공립,25425,"강원도 강릉시 주문진읍 연주로 270 (교항리, 강원도립대학)",033-660-8000        ,033-660-8015,http://www.gw.ac.kr
2020,전문대학(2년제),강원,강원 속초시,동우대학,DONG-U COLLEGE,본교,폐교,사립,24865,"강원도 속초시 도리원길 5 (노학동, 동우대학)",033-632-6551        ,033-639-0518     ,www.duc.ac.kr
2020,전문대학(2년제),강원,강원 원주시,상지영서대학교,Sangji Youngseo College,본교,폐교,사립,26339,"강원도 원주시 상지대길 84 (우산동, 상지영서대학교)",033-744-4150,033-744-1333,www.sy.ac.kr
2020,전문대학(2년제),강원,강원 춘천시,송곡대학교,SONGGOK UNIVERSITY,본교,기존,사립,24465,"강원도 춘천시 남산면 송곡대학길 34 (창촌리, 송곡대학교)",033-260-3600        ,033-261-4599        ,www.songgok.ac.kr
2020,전문대학(2년제),강원,강원 횡성군,송호대학교,SongHo University,본교,기존,사립,25242,"강원도 횡성군 횡성읍 남산로 210 (남산리, 송호대학교)",033-340-1000        ,033-340-1006        ,www.songho.ac.kr
2020,전문대학(2년제),충북,충북 제천시,대원대학교,DAEWON UNIVERSITY COLLEGE,본교,기존,사립,27135,"충청북도 제천시 대학로 316 (신월동, 대원대학)",043-645-9171        ,043-645-9170        ,www.daewon.ac.kr
