도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
양감작은도서관도서관,경기도,화성시,작은도서관,"매주 토,일요일 및 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,17,1512,0,0,7,14,경기도 화성시 양감면 초록로 7,화성시문화재단,031-5189-3004,4275,75,www.hscitylib.or.kr,37.0816536493,126.9456437753,2020-09-10,5530000,경기도 화성시
남양도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,756,149380,85,4893,7,14,경기도 화성시 역골중앙로143,화성시문화재단,031-356-5241,4556,4376,www.hscitylib.or.kr,37.21051615,126.8251357,2020-09-10,5530000,경기도 화성시
태안도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,359,120379,76,4855,7,14,"경기도 화성시 용주로22, 지하1층",화성시문화재단,031-223-4764,4423,4438,www.hscitylib.or.kr,37.2054580764,127.0142823827,2020-09-10,5530000,경기도 화성시
삼괴도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,144,102238,63,3887,7,14,경기도 화성시 우정읍 쌍봉로109-26,화성시문화재단,031-358-2101,6612,1965,www.hscitylib.or.kr,37.08930917,126.8143188119,2020-09-10,5530000,경기도 화성시
병점도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,463,149013,89,4569,7,14,경기도 화성시 병점3로 132-6,화성시문화재단,031-226-1822,49171,2620,www.hscitylib.or.kr,37.2123443520,127.0461084594,2020-09-10,5530000,경기도 화성시
봉담도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,737,120473,98,3607,7,14,경기도 화성시 봉담읍 샘마을1길 8-4,화성시문화재단,031-227-7281,2394,4574,www.hscitylib.or.kr,37.21941336,126.9490155,2020-09-10,5530000,경기도 화성시
동탄복합문화센터 도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,1066,188591,147,3995,7,14,경기도 화성시 노작로134,화성시문화재단,031-8015-8200,40397,6464,www.hscitylib.or.kr,37.2006875692,127.0751221069,2020-09-10,5530000,경기도 화성시
송산도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,406,80371,47,3002,7,14,경기도 화성시 송산면 삼일공원로87,화성시문화재단,031-355-3598,8070,3907,www.hscitylib.or.kr,37.2167813302,126.7392488530,2020-09-10,5530000,경기도 화성시
정남도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,100,43319,72,1324,7,14,경기도 화성시 정남면 만년로527,화성시문화재단,031-8059-4946,1714,567,www.hscitylib.or.kr,37.16824485,126.9831640297,2020-09-10,5530000,경기도 화성시
두빛나래어린이도서관도서관,경기도,화성시,어린이도서관,2번째 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,142,79765,46,2174,7,14,경기도 화성시 동탄숲속로69-14,화성시문화재단,031-8003-0748,13593,1628,www.hscitylib.or.kr,37.2092548432,127.0561049839,2020-09-10,5530000,경기도 화성시
둥지나래어린이도서관도서관,경기도,화성시,어린이도서관,1번째 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,78,73902,59,1902,7,14,경기도 화성시 향남읍 행정중앙2로 88,화성시문화재단,031-353-8162,47003,1619,www.hscitylib.or.kr,37.1291766383,126.9247698153,2020-09-10,5530000,경기도 화성시
진안도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,408,77868,112,2066,7,14,경기도 화성시 병점중앙로229,화성시문화재단,031-224-9977,1565,2931,www.hscitylib.or.kr,37.2173701985,127.0336057796,2020-09-10,5530000,경기도 화성시
동탄중앙이음터도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,480,100064,98,1849,7,14,경기도 화성시 동탄대로시범길117,화성시문화재단,031-378-7344,2701,2965,www.hscitylib.or.kr,37.1992840404,127.1112669318,2020-09-10,5530000,경기도 화성시
동탄다원이음터도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,420,61774,125,2400,7,14,경기도 화성시 동탄순환대로754-14,화성시문화재단,031-372-9611,3300,1696,www.hscitylib.or.kr,37.21053463,127.1045895,2020-09-10,5530000,경기도 화성시
송린이음터도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,180,36464,54,0,7,14,경기도 화성시 수노을2로 150,화성시문화재단,031-356-9680,3765,1141,www.hscitylib.or.kr,37.27730478,126.8225294652,2020-09-10,5530000,경기도 화성시
목동이음터도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,168,47422,29,5124,7,14,경기도 화성시 동탄순환대로20길 6,화성시문화재단,031-378-6771,2770,1774,www.hscitylib.or.kr,37.1892961350,127.1238977616,2020-09-10,5530000,경기도 화성시
샘내작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,26,17055,8,461,7,14,경기도 화성시 매송고색로375번길,화성시문화재단,031-292-7307,820,212,www.hscitylib.or.kr,37.24456889,126.9461462,2020-09-10,5530000,경기도 화성시
기아행복마루작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,30,13832,9,751,7,14,경기도 화성시 우정읍 기아자동차로559,화성시문화재단,031-358-2597,652,162,www.hscitylib.or.kr,37.0647000837,126.7956060613,2020-09-10,5530000,경기도 화성시
비봉작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,31,9894,1,120,7,14,경기도 화성시 비봉면 비봉로71번길 1,화성시문화재단,031-355-4551,4232,122,www.hscitylib.or.kr,37.2358185897,126.8738925144,2020-09-10,5530000,경기도 화성시
송산도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,406,78689,49,2949,7,14,경기도 화성시 송산면 삼일공원로87,화성시문화재단,031-355-3598,8070,3907,www.hscitylib.or.kr,37.2167813302,126.7392488530,2020-09-10,5530000,경기도 화성시
정남도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,100,42238,69,1324,7,14,경기도 화성시 정남면 만년로527,화성시문화재단,031-8059-4946,1714,567,www.hscitylib.or.kr,37.16824485,126.9831640297,2020-09-10,5530000,경기도 화성시
두빛나래어린이도서관도서관,경기도,화성시,어린이도서관,2번째 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,142,81511,46,2153,7,14,경기도 화성시 동탄숲속로69-14,화성시문화재단,031-8003-0748,13593,1628,www.hscitylib.or.kr,37.2092548432,127.0561049839,2020-09-10,5530000,경기도 화성시
둥지나래어린이도서관도서관,경기도,화성시,어린이도서관,1번째 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,78,76388,59,1918,7,14,경기도 화성시 향남읍 행정중앙2로 88,화성시문화재단,031-353-8162,47003,1619,www.hscitylib.or.kr,37.1291766383,126.9247698153,2020-09-10,5530000,경기도 화성시
진안도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,408,74702,109,1917,7,14,경기도 화성시 병점중앙로229,화성시문화재단,031-224-9977,1565,2931,www.hscitylib.or.kr,37.2173701985,127.0336057796,2020-09-10,5530000,경기도 화성시
동탄중앙이음터도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,480,97875,125,1810,7,14,경기도 화성시 동탄대로시범길117,화성시문화재단,031-378-7344,10393,2965,www.hscitylib.or.kr,37.1992840404,127.1112669318,2020-09-10,5530000,경기도 화성시
동탄다원이음터도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,420,57909,90,2400,7,14,경기도 화성시 동탄순환대로754-14,화성시문화재단,031-372-9611,3300,1696,www.hscitylib.or.kr,37.21053463,127.1045895,2020-09-10,5530000,경기도 화성시
송린이음터도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,180,33394,73,0,7,14,경기도 화성시 수노을2로 150,화성시문화재단,031-356-9680,11869,1141,www.hscitylib.or.kr,37.27730478,126.8225294652,2020-09-10,5530000,경기도 화성시
샘내작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,26,17000,8,461,7,14,경기도 화성시 매송고색로375번길,화성시문화재단,031-292-7307,820,212,www.hscitylib.or.kr,37.24456889,126.9461462,2020-09-10,5530000,경기도 화성시
기아행복마루작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,30,13017,9,751,7,14,경기도 화성시 우정읍 기아자동차로559,화성시문화재단,031-358-2597,652,162,www.hscitylib.or.kr,37.0647000837,126.7956060613,2020-09-10,5530000,경기도 화성시
비봉작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,31,8929,1,120,7,14,경기도 화성시 비봉면 비봉로71번길 1,화성시문화재단,031-355-4551,4232,122,www.hscitylib.or.kr,37.2358185897,126.8738925144,2020-09-10,5530000,경기도 화성시
현안작은도서관,인천광역시,중구,작은도서관,토요일+일요일+법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,40,2500,3,0,4,14,"인천광역시 중구 우현로83번길 6, 5층",,032-528-1009,,,,37.4745202,126.630115,2021-05-17,3490000,인천광역시 중구
휘란작은도서관,인천광역시,중구,작은도서관,토요일+일요일+법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,60,6400,4,0,0,7,인천광역시 중구 제물량로206번길 21,,032-762-7511,,,,37.4724004,126.6221038,2021-05-17,3490000,인천광역시 중구
글마루작은도서관,인천광역시,중구,작은도서관,월요일+법정공휴일,13:00,18:00,13:00,18:00,13:00,18:00,50,2100,0,32,0,0,인천광역시 중구 참외전로244번길 7,,032-882-1955,,,,37.4683075,126.6408214,2021-05-17,3490000,인천광역시 중구
꿈벗도서관,인천광역시,중구,공공도서관,월요일+법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,86,29725,60,1034,5,14,인천광역시 중구 홍예문로 32,,032-763-6111,,,,37.47314843,126.6249941,2021-05-17,3490000,인천광역시 중구
동인천동작은도서관,인천광역시,중구,작은도서관,토요일+일요일+법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,12,3359,0,0,3,14,인천광역시 중구 참외전로72번길 25,,032-751-7990,,,,37.4768262,126.6289461,2021-05-17,3490000,인천광역시 중구
용유동작은도서관,인천광역시,중구,작은도서관,토요일+일요일+법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,6,4032,0,0,3,7,인천광역시 중구 남북로 16,,032-760-6217,,,,37.44264561,126.4063967,2021-05-17,3490000,인천광역시 중구
희망을주는도서관,인천광역시,중구,작은도서관,일요일+월요일+법정공휴일,10:00,17:00,10:00,17:00,12:00,16:30,27,2500,0,0,0,0,인천광역시 중구 매소홀로 7,,032-884-9901,,,,37.45344956,126.6283643,2021-05-17,3490000,인천광역시 중구
하늘꿈작은도서관,인천광역시,중구,작은도서관,월요일+화요일+수요일+목요일+법정공유일,13:00,20:00,13:00,21:00,10:00,19:00,25,2530,3,0,0,0,인천광역시 중구 용유서로479번길 42(왕산교회),,032-747-0691,,,,37.46397453,126.3696007,2021-05-17,3490000,인천광역시 중구
신정2동 마을문고,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,30,8501,0,0,3,14,울산광역시 남구 봉월로20번길 9(신정동),울산광역시 남구 신정2동주민센터,052-226-2792,,70.2,http://ulsannamgu.go.kr/library/main.do,35.5346671,129.3078652,2020-06-25,3700000,울산광역시 남구
수암동 마을문고,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",09:00,17:00,00:00,00:00,00:00,00:00,16,10606,0,0,3,14,울산광역시 남구 중앙로 32(야음동),울산광역시 남구 수암동주민센터,052-226-2935,,57.5,http://ulsannamgu.go.kr/library/main.do,35.5244626,129.3184513,2020-06-25,3700000,울산광역시 남구
야음장생포동 마을문고,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",09:00,17:00,00:00,00:00,00:00,00:00,12,9531,0,0,3,14,울산광역시 남구 여천로12번길 50,울산광역시 남구 야음장생포동 주민센터,052-226-2861,,87.32,http://ulsannamgu.go.kr/library/main.do,35.5200436,129.3399409,2020-06-25,3700000,울산광역시 남구
남부도서관,울산광역시,남구,공공도서관,"매주 월요일, 법정공휴일",07:00,23:00,07:00,23:00,00:00,00:00,944,309454,302,23454,5,14,울산광역시 남구 거마로13번길 6(옥동),울산광역시 교육청,052-259-7580,3259,4479,http://ulsannamgu.go.kr/library/main.do,35.53591572,129.2949974,2020-06-25,3700000,울산광역시 남구
월봉도서관,울산광역시,남구,작은도서관,"매주 월요일, 법정공휴일",09:00,21:00,09:00,21:00,00:00,00:00,66,23670,10,101,3,14,울산광역시 남구 번영로54번길 6(신정동),울산광역시 남구청,052-226-2377,396,273,http://ulsannamgu.go.kr/library/main.do,35.53043776,129.3312217,2020-06-25,3700000,울산광역시 남구
옥현어린이도서관,울산광역시,남구,공공도서관,"매주 월요일, 법정공휴일",09:00,18:00,09:00,18:00,00:00,00:00,113,30521,20,1377,3,14,울산광역시 남구 옥현로58번길 40(무거동),울산광역시 남구청,052-226-2370,12896,533.23,http://ulsannamgu.go.kr/library/main.do,35.5391622,129.264824,2020-06-25,3700000,울산광역시 남구
신복도서관,울산광역시,남구,공공도서관,"매주 월요일, 법정공휴일",09:00,22:00,09:00,22:00,00:00,00:00,210,49722,52,2857,3,14,울산광역시 남구 신복로72번길 18-13(무거동),울산광역시 남구청,052-226-2367,712.7,1522.3,http://ulsannamgu.go.kr/library/main.do,35.5513724,129.2553236,2020-06-25,3700000,울산광역시 남구
도산도서관,울산광역시,남구,공공도서관,"매주 월요일, 법정공휴일",09:00,22:00,09:00,22:00,00:00,00:00,189,61346,53,3359,3,14,울산광역시 남구 돋질로139번길 23(야음동),울산광역시 남구청,052-226-5710,611,1214.32,http://ulsannamgu.go.kr/library/main.do,35.5422963,129.3198911,2020-06-25,3700000,울산광역시 남구
바람개비작은도서관,대구광역시,북구,작은도서관,"토, 일, 법정공휴일",13:00,17:00,00:00,00:00,00:00,00:00,16,4000,0,2,0,0,대구광역시 북구 동변로 69(2층),,053-954-7073,,125,,35.9196755347,128.6034310184,2020-12-10,3450000,대구광역시 북구
늘푸른도서관,전라북도,군산시,공공도서관,매주 일요일 및 국가지정 공휴일,09:00,22:00,09:00,17:00,00:00,00:00,220,77997,44,0,5,14,전라북도 군산시 하나운로 17,전라북도 군산시청,063-454-5980,2776,2338,http://lib.gunsan.go.kr,35.96051754,126.6990535,2021-04-16,4670000,전라북도 군산시
설림도서관(자료열람실),전라북도,군산시,공공도서관,매주 일요일 및 국가지정 공휴일,09:00,22:00,09:00,17:00,00:00,00:00,83,52687,37,0,5,14,전라북도 군산시 설림길 25,전라북도 군산시청,063-454-5700,3392,1157,http://lib.gunsan.go.kr,35.9730164,126.6843977,2021-04-16,4670000,전라북도 군산시
설림도서관(학습실),전라북도,군산시,공공도서관,"명절, 선거일",07:00,22:00,07:00,22:00,07:00,22:00,136,0,0,0,0,0,전라북도 군산시 설림길 25,전라북도 군산시청,063-454-5700,3392,1157,http://lib.gunsan.go.kr,35.9730164,126.6843977,2021-04-16,4670000,전라북도 군산시
산들도서관,전라북도,군산시,공공도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,156,11940,24,0,5,14,전라북도 군산시 옥구읍 옥구로 27,전라북도 군산시청,063-454-5800,4347,986.14,http://lib.gunsan.go.kr,35.92187411,126.6833437,2021-04-16,4670000,전라북도 군산시
임피채만식도서관,전라북도,군산시,공공도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,80,32242,9,0,5,14,전라북도 군산시 임피면 임피향교길 39,전라북도 군산시청,063-454-5655,2317,693,http://lib.gunsan.go.kr,35.98754425,126.8484693,2021-04-16,4670000,전라북도 군산시
구암작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,32,20812,12,0,5,14,전라북도 군산시 구암3.1로 245,전라북도 군산시청,063-454-5657,310,166,http://lib.gunsan.go.kr,35.9851392,126.7445904,2021-04-16,4670000,전라북도 군산시
미성작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,50,19785,9,0,5,14,전라북도 군산시 동아로 11,전라북도 군산시청,063-454-5658,313,313,http://lib.gunsan.go.kr,35.9612614390,126.6754742,2021-04-16,4670000,전라북도 군산시
월명작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,63,18257,13,0,5,14,전라북도 군산시 구영7길 6,전라북도 군산시청,063-454-5659,236,236,http://lib.gunsan.go.kr,35.9841665,126.7088439,2021-04-16,4670000,전라북도 군산시
미룡작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,57,23746,11,0,5,14,전라북도 군산시 미룡로 42,전라북도 군산시청,063-454-5661,210,210,http://lib.gunsan.go.kr,35.9414427083,126.6896158158,2021-04-16,4670000,전라북도 군산시
흥남작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,48,20711,12,0,5,14,전라북도 군산시 풍문2길 35,전라북도 군산시청,063-454-5660,200,200,http://lib.gunsan.go.kr,35.9787382491,126.7191249292,2021-04-16,4670000,전라북도 군산시
나포작은도서관,전라북도,군산시,작은도서관,매주 일요일 및 국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,58,16197,11,0,5,14,전라북도 군산시 나포면 교동2길 5,전라북도 군산시청,063-454-5662,238,238,http://lib.gunsan.go.kr,36.03097604,126.8319975,2021-04-16,4670000,전라북도 군산시
조촌작은도서관,전라북도,군산시,작은도서관,매주 월요일 및 국가지정 공휴일(일요일 운영시간 토요일과 동일),09:00,18:00,10:00,19:00,00:00,00:00,25,14844,9,0,5,14,전라북도 군산시 양안로 133,전라북도 군산시청,063-452-0401,192,192,http://lib.gunsan.go.kr,35.9742595,126.7435428,2021-04-16,4670000,전라북도 군산시
경상북도교육청 영주선비도서관,경상북도,영주시,공공도서관,"매월 둘째, 넷째 월요일, 일요일을 제외한 관공서의 공휴일(단, 일요일과 기타 공휴일이 겹치는 경우에는 휴관), 특별한 사유로 도서관장이 지정하는 날",09:00,22:00,09:00,22:00,09:00,22:00,440,140269,296,5443,5,14,경상북도 영주시 영주로60번길 38(가흥동),경상북도교육청,054-630-3800,6000,4785,http://www.gbelib.kr/yj/index.do,36.81970647,128.6059676,2021-01-01,8750689,경상북도교육청 경상북도교육청영주선비도서관
